back, m_in, n_in, o_in, m_out, n_out, o_out, comment (no use)
0, 0, 0, DL, 4, 0, DL, down-left half plus
0, 1, 0, DL, 5, 0, DL, down-left half plus
0, 1, 0, TR, 5, 0, TR, down-left half plus
0, 1, 1, DL, 5, 1, DL, down-left half plus
0, 1, 1, TR, 5, 1, TR, down-left half plus
0, 2, 0, DL, 6, 0, DL, down-left half plus
0, 2, 0, TR, 6, 0, TR, down-left half plus
0, 2, 1, DL, 6, 1, DL, down-left half plus
0, 2, 1, TR, 6, 1, TR, down-left half plus
0, 2, 2, DL, 6, 2, DL, down-left half plus
0, 3, 0, DL, 7, 0, DL, down-left half plus
0, 3, 0, TR, 7, 0, TR, down-left half plus
0, 3, 1, DL, 7, 1, DL, down-left half plus
0, 3, 1, TR, 7, 1, TR, down-left half plus
0, 3, 2, DL, 7, 2, DL, down-left half plus
0, 3, 2, TR, 7, 2, TR, down-left half plus
0, 3, 3, DL, 7, 3, DL, down-left half plus
0, 3, 3, TR, 7, 3, TR, down-left half plus
0, 0, 0, TR, 3, 0, TL,
0, 0, 1, TL, 2, 0, DL,
0, 0, 1, DR, 2, 0, TR,
0, 0, 2, TL, 1, 0, DL,
0, 0, 2, DR, 1, 0, TR,
0, 0, 3, TL, 0, 0, DL,
0, 1, 2, TL, 3, 3, DL,
0, 1, 2, DR, 3, 4, DR, diag square
0, 1, 3, DL, 3, 5, DL, diag square
0, 2, 2, TR, 4, 4, TR, diag square
0, 2, 3, TL, 4, 5, TL, diag square
0, 2, 3, DR, 5, 5, DL, 
0, 0, 3, DR, 7, 7, DL,
0, 1, 3, TR, 7, 6, DR,
1, 3, 3, TL, 0, 1, TL, CVC
1, 0, 0, TL, 0, 1, DR, full CVC
1, 0, 0, TL, 0, 0, TR,
1, 0, 0, TL, 0, 2, TL,
1, 0, 0, TL, 0, 2, DR,
1, 0, 0, TL, 0, 3, TL,
1, 0, 0, TL, 0, 4, TR,
1, 0, 0, TL, 3, 7, TR,
1, 0, 0, TL, 4, 7, DR,
1, 0, 0, TL, 5, 7, TL,
1, 0, 0, TL, 5, 7, DR,
1, 0, 0, TL, 6, 7, TL,
1, 0, 0, TL, 6, 7, DR,
1, 0, 0, TL, 7, 7, TR,
1, 0, 0, TL, 0, 5, TL, top-left 3x3 square
1, 0, 0, TL, 0, 5, DR, top-left 3x3 square
1, 0, 0, TL, 0, 6, TL, top-left 3x3 square
1, 0, 0, TL, 0, 6, DR, top-left 3x3 square
1, 0, 0, TL, 0, 7, TL, top-left 3x3 square
1, 0, 0, TL, 0, 7, DR, top-left 3x3 square
1, 0, 0, TL, 1, 5, TL, top-left 3x3 square
1, 0, 0, TL, 1, 5, DR, top-left 3x3 square
1, 0, 0, TL, 1, 6, TL, top-left 3x3 square
1, 0, 0, TL, 1, 6, DR, top-left 3x3 square
1, 0, 0, TL, 1, 7, TL, top-left 3x3 square
1, 0, 0, TL, 1, 7, DR, top-left 3x3 square
1, 0, 0, TL, 2, 5, TL, top-left 3x3 square
1, 0, 0, TL, 2, 5, DR, top-left 3x3 square
1, 0, 0, TL, 2, 6, TL, top-left 3x3 square
1, 0, 0, TL, 2, 6, DR, top-left 3x3 square
1, 0, 0, TL, 2, 7, TL, top-left 3x3 square
1, 0, 0, TL, 2, 7, DR, top-left 3x3 square
