back, m_in, n_in, o_in, m_out, n_out, o_out, comment (no use)
0, 0, 0, TL, 0, 1, TR, top-left quadrant
0, 0, 0, DR, 0, 1, DL, top-left quadrant
0, 0, 1, TL, 1, 1, TR, top-left quadrant
0, 0, 1, DR, 1, 1, DL, top-left quadrant
0, 1, 0, TL, 0, 0, TR, top-left quadrant
0, 1, 0, DR, 0, 0, DL, top-left quadrant
0, 1, 1, TL, 1, 0, TR, top-left quadrant
0, 1, 1, DR, 1, 0, DL, top-left quadrant
0, 0, 2, DL, 2, 5, TL, top-right quadrant
0, 0, 2, TR, 2, 6, TR, top-right quadrant
0, 0, 3, TL, 2, 7, TL, top-right quadrant
0, 0, 3, DR, 2, 7, DR, top-right quadrant
0, 1, 2, TL, 3, 4, TL, top-right quadrant
0, 1, 2, DR, 3, 4, DR, top-right quadrant
0, 1, 3, TL, 3, 7, TL, top-right quadrant
0, 1, 3, DR, 3, 7, DR, top-right quadrant
0, 2, 0, TL, 4, 0, TL, down-left quadrant
0, 2, 0, DR, 4, 0, DR, down-left quadrant
0, 2, 1, TL, 4, 3, TL, down-left quadrant
0, 2, 1, DR, 4, 3, DR, down-left quadrant
0, 3, 0, TL, 5, 0, TL, down-left quadrant
0, 3, 0, DR, 5, 0, DR, down-left quadrant
0, 3, 1, DL, 5, 1, DL, down-left quadrant
0, 3, 1, DL, 5, 2, DR, down-left quadrant
0, 2, 2, TL, 6, 7, TR, down-right quadrant
0, 2, 2, DR, 6, 7, DL, down-right quadrant
0, 2, 3, TL, 7, 7, TR, down-right quadrant
0, 2, 3, DR, 7, 7, DL, down-right quadrant
0, 3, 2, TL, 6, 6, TR, down-right quadrant
0, 3, 2, DR, 6, 6, DL, down-right quadrant
0, 3, 3, TL, 7, 6, TR, down-right quadrant
0, 3, 3, DR, 7, 6, DL, down-right quadrant
1, 3, 3, TL, 6, 0, DR, CVC
1, 0, 0, TL, 6, 0, TL, full CVC
1, 0, 0, TL, 0, 2, TL,
1, 0, 0, TL, 0, 2, DR,
1, 0, 0, TL, 0, 3, TL,
1, 0, 0, TL, 1, 2, TL, 
1, 0, 0, TL, 0, 4, TR,
1, 0, 0, TL, 0, 5, TL,
1, 0, 0, TL, 0, 5, DR,
1, 0, 0, TL, 0, 6, TL,
1, 0, 0, TL, 0, 6, DR,
1, 0, 0, TL, 0, 7, TL,
1, 0, 0, TL, 0, 7, DR,
1, 0, 0, TL, 1, 5, TR,
1, 0, 0, TL, 1, 6, TL,
1, 0, 0, TL, 1, 6, DR,
1, 0, 0, TL, 1, 7, TL,
1, 0, 0, TL, 1, 7, DR,
1, 0, 0, TL, 6, 1, TL,
1, 0, 0, TL, 6, 1, DR,
1, 0, 0, TL, 6, 2, DL,
1, 0, 0, TL, 7, 0, TL,
1, 0, 0, TL, 7, 0, DR,
1, 0, 0, TL, 7, 1, TL,
1, 0, 0, TL, 7, 1, DR,
1, 0, 0, TL, 7, 2, TL,
1, 0, 0, TL, 7, 2, DR,
1, 0, 0, TL, 7, 3, DL,
1, 0, 0, TL, 7, 4, DR,
1, 0, 0, TL, 6, 5, DR,
1, 0, 0, TL, 7, 5, TL,
1, 0, 0, TL, 7, 5, DR,
