back, m_in, n_in, o_in, m_out, n_out, o_out, comment (no use)
0, 0, 0, DL, 1, 6, DL, left side
0, 1, 0, TL, 2, 6, TL, left side
0, 1, 0, DR, 2, 6, DR, left side
0, 1, 1, TL, 2, 7, TL, left side
0, 1, 1, DR, 2, 7, DR, left side
0, 2, 0, TL, 3, 6, TL, left side
0, 2, 0, DR, 3, 6, DR, left side
0, 2, 1, TL, 3, 7, TL, left side
0, 2, 1, DR, 3, 7, DR, left side
0, 3, 0, TR, 4, 6, TR, left side
0, 3, 1, TL, 4, 7, TL, left side
0, 3, 0, DL, 5, 6, DR, down-left corner
0, 3, 1, DR, 7, 7, DL, 
0, 0, 0, TR, 0, 6, TL, top row
0, 0, 1, TL, 0, 3, TR, top row
0, 0, 1, DR, 0, 2, TL, top row
0, 0, 2, TL, 0, 1, DR, top row
0, 0, 2, DR, 0, 1, TL, top row
0, 0, 3, TL, 0, 0, DR, top row
0, 0, 3, DR, 0, 0, TL, top row
0, 1, 2, TL, 7, 3, DR,
0, 1, 2, DR, 7, 3, TL,
0, 2, 2, TL, 6, 3, DR,
0, 2, 2, DR, 6, 3, TL,
0, 3, 2, TL, 5, 2, TR,
0, 1, 3, TL, 7, 0, DR, bottom-right side
0, 1, 3, DR, 7, 0, TL, bottom-right side
0, 2, 3, TL, 6, 0, DR, bottom-right side
0, 2, 3, DR, 6, 0, TL, bottom-right side
0, 3, 3, TL, 5, 0, DR, bottom-right side
0, 3, 3, DR, 5, 0, TL, bottom-right side
0, 3, 2, DR, 5, 1, TL, bottom-right side
1, 3, 3, TL, 3, 3, TL, CVC
1, 0, 0, TL, 3, 3, DR, full CVC
1, 0, 0, TL, 1, 1, TL,
1, 0, 0, TL, 1, 0, TL,
1, 0, 0, TL, 1, 0, DR,
1, 0, 0, TL, 2, 0, TL,
1, 0, 0, TL, 2, 0, DR,
1, 0, 0, TL, 3, 0, TL,
1, 0, 0, TL, 3, 0, DR,
1, 0, 0, TL, 4, 0, TL,
1, 0, 0, TL, 4, 0, DR,
1, 0, 0, TL, 4, 1, DL,
1, 0, 0, TL, 4, 2, DR,
1, 0, 0, TL, 2, 3, TL,
1, 0, 0, TL, 2, 3, DR,
1, 0, 0, TL, 2, 4, TL,
1, 0, 0, TL, 2, 4, DR,
1, 0, 0, TL, 2, 5, TL,
1, 0, 0, TL, 2, 5, DR,
1, 0, 0, TL, 3, 4, TL,
1, 0, 0, TL, 3, 4, DR,
1, 0, 0, TL, 3, 5, TL,
1, 0, 0, TL, 3, 5, DR,
1, 0, 0, TL, 6, 6, TL,
1, 0, 0, TL, 6, 6, DR,
1, 0, 0, TL, 7, 6, TL,
1, 0, 0, TL, 7, 6, DR,
1, 0, 0, TL, 0, 4, TL,
1, 0, 0, TL, 0, 5, TR,
1, 0, 0, TL, 1, 4, DL,
1, 0, 0, TL, 1, 5, DR,
